Feature-to-Feature Correlations (absolute values, sorted)
('following_over_total_connections_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.1223
('name_length_scaled', 'username_length_scaled'): 0.1213
('url_in_description_count_scaled', 'following_over_total_connections_scaled'): 0.1196
('username_name_length_ratio_scaled', 'username_entropy_scaled'): 0.1193
('ratio_digits_in_username_scaled', 'username_name_levenshtein_scaled'): 0.1187
('account_age_seconds_scaled', 'listed_count_scaled'): 0.1184
('username_name_levenshtein_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.1183
('following_count_scaled', 'tweet_count_scaled'): 0.1182
('tweet_count_scaled', 'followers_over_following_scaled'): 0.1168
('tweet_count_scaled', 'double_followers_over_following_scaled'): 0.1168
('url_in_description_count_scaled', 'tweet_count_scaled'): 0.1155
('username_upper_to_lower_ratio_scaled', 'username_entropy_scaled'): 0.1153
('listed_over_tweets_scaled', 'tweets_last20_avg_likes_scaled'): 0.1151
('tweet_count_scaled', 'following_rate_scaled'): 0.1150
('username_name_levenshtein_scaled', 'following_over_total_connections_scaled'): 0.1143
('name_length_scaled', 'username_entropy_scaled'): 0.1131
('ratio_special_chars_in_description_scaled', 'account_age_seconds_scaled'): 0.1103
('account_age_seconds_scaled', 'listed_rate_scaled'): 0.1095
('username_name_length_ratio_scaled', 'account_age_seconds_scaled'): 0.1091
('followers_count_scaled', 'following_over_total_connections_scaled'): 0.1090
('username_name_levenshtein_scaled', 'tweet_rate_scaled'): 0.1074
('username_upper_to_lower_ratio_scaled', 'listed_rate_scaled'): 0.1049
('following_count_scaled', 'tweet_rate_scaled'): 0.1042
('ratio_special_chars_in_description_scaled', 'name_entropy_scaled'): 0.1025
('ratio_special_chars_in_name_scaled', 'tweet_count_scaled'): 0.1023
('ratio_special_chars_in_description_scaled', 'tweet_rate_scaled'): 0.1017
('username_name_length_ratio_scaled', 'ratio_special_chars_in_description_scaled'): 0.1015
('ratio_digits_in_name_scaled', 'tweet_rate_scaled'): 0.1013
('ratio_special_chars_in_description_scaled', 'description_sentiment_scaled'): 0.1010
('username_upper_to_lower_ratio_scaled', 'listed_count_scaled'): 0.1001
('listed_over_followers_scaled', 'tweets_over_followers_scaled'): 0.0998
('following_over_total_connections_scaled', 'tweet_rate_scaled'): 0.0989
('followers_count_scaled', 'tweet_count_scaled'): 0.0987
('tweet_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0979
('description_length_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0975
('name_entropy_scaled', 'mention_in_description_count_scaled'): 0.0973
('tweet_count_scaled', 'follower_rate_scaled'): 0.0967
('ratio_digits_in_username_scaled', 'name_entropy_scaled'): 0.0961
('ratio_special_chars_in_description_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0949
('ratio_special_chars_in_name_scaled', 'tweets_over_followers_scaled'): 0.0945
('ratio_special_chars_in_username_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0938
('following_count_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0927
('mention_in_description_count_scaled', 'account_age_seconds_scaled'): 0.0919
('tweets_last20_num_distinct_langs_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0911
('ratio_digits_in_name_scaled', 'tweet_count_scaled'): 0.0909
('ratio_special_chars_in_description_scaled', 'url_in_description_count_scaled'): 0.0905
('url_in_description_count_scaled', 'tweet_rate_scaled'): 0.0892
('ratio_digits_in_username_scaled', 'tweet_rate_scaled'): 0.0874
('listed_rate_scaled', 'tweet_rate_scaled'): 0.0866
('description_length_scaled', 'following_over_followers_scaled'): 0.0864
('following_over_total_connections_scaled', 'following_rate_scaled'): 0.0863
('ratio_special_chars_in_name_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0857
('description_length_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0825
('name_upper_to_lower_ratio_scaled', 'name_entropy_scaled'): 0.0816
('mention_in_description_count_scaled', 'tweets_over_followers_scaled'): 0.0811
('username_name_length_ratio_scaled', 'mention_in_description_count_scaled'): 0.0796
('following_over_total_connections_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0794
('ratio_special_chars_in_description_scaled', 'tweet_count_scaled'): 0.0790
('description_length_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0782
('listed_count_scaled', 'tweet_rate_scaled'): 0.0781
('tweet_rate_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0777
('ratio_special_chars_in_username_scaled', 'name_entropy_scaled'): 0.0775
('following_over_total_connections_scaled', 'tweets_last20_avg_likes_scaled'): 0.0774
('username_name_levenshtein_scaled', 'tweets_over_followers_scaled'): 0.0773
('username_name_levenshtein_scaled', 'tweet_count_scaled'): 0.0772
('ratio_special_chars_in_description_scaled', 'tweets_over_followers_scaled'): 0.0771
('followers_over_following_scaled', 'tweet_rate_scaled'): 0.0771
('double_followers_over_following_scaled', 'tweet_rate_scaled'): 0.0771
('following_rate_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0770
('description_length_scaled', 'tweet_count_scaled'): 0.0768
('username_name_levenshtein_scaled', 'account_age_seconds_scaled'): 0.0762
('account_age_seconds_scaled', 'followers_count_scaled'): 0.0755
('username_name_levenshtein_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0755
('ratio_special_chars_in_description_scaled', 'username_entropy_scaled'): 0.0749
('following_over_followers_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0730
('description_sentiment_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0726
('description_length_scaled', 'ratio_special_chars_in_name_scaled'): 0.0725
('name_length_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0724
('description_length_scaled', 'username_name_levenshtein_scaled'): 0.0723
('name_length_scaled', 'ratio_digits_in_username_scaled'): 0.0715
('ratio_digits_in_name_scaled', 'account_age_seconds_scaled'): 0.0712
('name_entropy_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0712
('following_over_followers_squared_scaled', 'following_over_total_connections_scaled'): 0.0703
('description_length_scaled', 'following_count_scaled'): 0.0699
('ratio_special_chars_in_name_scaled', 'username_entropy_scaled'): 0.0697
('name_length_scaled', 'ratio_digits_in_description_scaled'): 0.0696
('ratio_digits_in_description_scaled', 'tweet_count_scaled'): 0.0693
('tweets_over_followers_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0692
('ratio_digits_in_username_scaled', 'ratio_special_chars_in_username_scaled'): 0.0691
('name_entropy_scaled', 'following_over_total_connections_scaled'): 0.0688
('description_length_scaled', 'ratio_special_chars_in_description_scaled'): 0.0680
('account_age_seconds_scaled', 'following_count_scaled'): 0.0679
('name_entropy_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0679
('ratio_special_chars_in_username_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0675
('ratio_special_chars_in_username_scaled', 'username_name_levenshtein_scaled'): 0.0673
('ratio_digits_in_username_scaled', 'ratio_special_chars_in_description_scaled'): 0.0668
('ratio_special_chars_in_name_scaled', 'name_entropy_scaled'): 0.0666
('ratio_special_chars_in_name_scaled', 'mention_in_description_count_scaled'): 0.0662
('follower_rate_scaled', 'tweet_rate_scaled'): 0.0661
('hashtag_in_description_count_scaled', 'following_rate_scaled'): 0.0655
('ratio_digits_in_username_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0652
('ratio_special_chars_in_name_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0651
('account_age_seconds_scaled', 'follower_rate_scaled'): 0.0649
('description_length_scaled', 'listed_over_tweets_scaled'): 0.0641
('hashtag_in_description_count_scaled', 'following_over_total_connections_scaled'): 0.0641
('username_name_length_ratio_scaled', 'ratio_digits_in_username_scaled'): 0.0640
('description_length_scaled', 'following_rate_scaled'): 0.0639
('following_over_followers_squared_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0638
('name_length_scaled', 'mention_in_description_count_scaled'): 0.0635
('name_length_scaled', 'ratio_special_chars_in_description_scaled'): 0.0628
('tweets_over_followers_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0621
('followers_count_scaled', 'tweet_rate_scaled'): 0.0618
('following_count_scaled', 'following_over_total_connections_scaled'): 0.0616
('ratio_special_chars_in_name_scaled', 'ratio_special_chars_in_username_scaled'): 0.0613
('ratio_special_chars_in_description_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0612
('ratio_digits_in_description_scaled', 'name_entropy_scaled'): 0.0605
('account_age_seconds_scaled', 'listed_over_followers_scaled'): 0.0604
('ratio_digits_in_description_scaled', 'following_over_total_connections_scaled'): 0.0601
('username_name_length_ratio_scaled', 'username_name_levenshtein_scaled'): 0.0593
('ratio_digits_in_description_scaled', 'tweet_rate_scaled'): 0.0592
('description_length_scaled', 'following_over_followers_squared_scaled'): 0.0591
('username_name_length_ratio_scaled', 'ratio_special_chars_in_username_scaled'): 0.0590
('tweets_last20_reply_fraction_scaled', 'tweets_last20_avg_likes_scaled'): 0.0586
('ratio_special_chars_in_username_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0586
('ratio_special_chars_in_username_scaled', 'ratio_special_chars_in_description_scaled'): 0.0581
('listed_rate_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0581
('cashtag_in_description_count_scaled', 'account_age_seconds_scaled'): 0.0573
('username_name_length_ratio_scaled', 'following_over_total_connections_scaled'): 0.0567
('name_entropy_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0566
('username_upper_to_lower_ratio_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0565
('name_upper_to_lower_ratio_scaled', 'cashtag_in_description_count_scaled'): 0.0564
('account_age_seconds_scaled', 'tweets_over_followers_scaled'): 0.0564
('username_upper_to_lower_ratio_scaled', 'tweets_over_followers_scaled'): 0.0561
('ratio_digits_in_name_scaled', 'ratio_digits_in_description_scaled'): 0.0561
('cashtag_in_description_count_scaled', 'mention_in_description_count_scaled'): 0.0557
('ratio_special_chars_in_name_scaled', 'description_sentiment_scaled'): 0.0557
('hashtag_in_description_count_scaled', 'following_count_scaled'): 0.0555
('hashtag_in_description_count_scaled', 'tweet_count_scaled'): 0.0554
('username_length_scaled', 'listed_count_scaled'): 0.0545
('ratio_digits_in_name_scaled', 'username_name_levenshtein_scaled'): 0.0545
('ratio_digits_in_description_scaled', 'username_upper_to_lower_ratio_scaled'): 0.0537
('username_upper_to_lower_ratio_scaled', 'name_entropy_scaled'): 0.0536
('account_age_seconds_scaled', 'following_over_followers_scaled'): 0.0535
('listed_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0534
('ratio_digits_in_username_scaled', 'tweet_count_scaled'): 0.0531
('hashtag_in_description_count_scaled', 'tweet_rate_scaled'): 0.0529
('mention_in_description_count_scaled', 'following_over_total_connections_scaled'): 0.0529
('ratio_digits_in_username_scaled', 'mention_in_description_count_scaled'): 0.0520
('name_length_scaled', 'ratio_special_chars_in_username_scaled'): 0.0514
('url_in_description_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0514
('followers_over_following_scaled', 'following_over_total_connections_scaled'): 0.0510
('double_followers_over_following_scaled', 'following_over_total_connections_scaled'): 0.0510
('username_length_scaled', 'listed_rate_scaled'): 0.0509
('name_entropy_scaled', 'tweets_over_followers_scaled'): 0.0506
('username_name_length_ratio_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0503
('description_sentiment_scaled', 'account_age_seconds_scaled'): 0.0501
('listed_over_tweets_scaled', 'tweet_rate_scaled'): 0.0497
('username_entropy_scaled', 'listed_count_scaled'): 0.0494
('name_length_scaled', 'following_over_total_connections_scaled'): 0.0494
('tweets_last20_sensitive_fraction_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0492
('name_entropy_scaled', 'url_in_description_count_scaled'): 0.0487
('description_length_scaled', 'tweets_last20_avg_likes_scaled'): 0.0487
('tweets_last20_num_distinct_langs_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0485
('username_length_scaled', 'ratio_digits_in_name_scaled'): 0.0484
('tweet_count_scaled', 'listed_over_tweets_scaled'): 0.0480
('username_name_length_ratio_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0476
('name_length_scaled', 'url_in_description_count_scaled'): 0.0469
('ratio_special_chars_in_username_scaled', 'following_over_followers_scaled'): 0.0468
('name_upper_to_lower_ratio_scaled', 'description_sentiment_scaled'): 0.0466
('tweets_over_followers_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0465
('username_name_levenshtein_scaled', 'mention_in_description_count_scaled'): 0.0464
('listed_over_followers_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0463
('hashtag_in_description_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0463
('description_length_scaled', 'ratio_digits_in_description_scaled'): 0.0461
('username_upper_to_lower_ratio_scaled', 'following_over_total_connections_scaled'): 0.0453
('username_name_levenshtein_scaled', 'listed_over_tweets_scaled'): 0.0448
('name_entropy_scaled', 'following_rate_scaled'): 0.0447
('ratio_digits_in_description_scaled', 'ratio_special_chars_in_description_scaled'): 0.0445
('username_entropy_scaled', 'listed_rate_scaled'): 0.0443
('ratio_digits_in_name_scaled', 'mention_in_description_count_scaled'): 0.0440
('username_name_levenshtein_scaled', 'tweets_last20_avg_likes_scaled'): 0.0432
('name_upper_to_lower_ratio_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0431
('listed_rate_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0428
('ratio_digits_in_username_scaled', 'ratio_special_chars_in_name_scaled'): 0.0422
('ratio_special_chars_in_username_scaled', 'following_over_followers_squared_scaled'): 0.0422
('description_sentiment_scaled', 'tweets_over_followers_scaled'): 0.0422
('name_upper_to_lower_ratio_scaled', 'mention_in_description_count_scaled'): 0.0422
('ratio_digits_in_username_scaled', 'url_in_description_count_scaled'): 0.0419
('ratio_special_chars_in_name_scaled', 'cashtag_in_description_count_scaled'): 0.0419
('ratio_digits_in_username_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0419
('ratio_special_chars_in_description_scaled', 'listed_over_followers_scaled'): 0.0418
('username_length_scaled', 'following_over_total_connections_scaled'): 0.0418
('description_length_scaled', 'tweet_rate_scaled'): 0.0415
('cashtag_in_description_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0415
('name_length_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0413
('description_sentiment_scaled', 'mention_in_description_count_scaled'): 0.0413
('username_name_length_ratio_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0403
('url_in_description_count_scaled', 'account_age_seconds_scaled'): 0.0400
('listed_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0399
('tweets_over_followers_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0396
('name_length_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0389
('username_name_length_ratio_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0387
('ratio_special_chars_in_username_scaled', 'following_count_scaled'): 0.0384
('username_length_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0381
('username_name_levenshtein_scaled', 'listed_over_followers_scaled'): 0.0381
('name_upper_to_lower_ratio_scaled', 'tweet_rate_scaled'): 0.0379
('ratio_digits_in_name_scaled', 'ratio_special_chars_in_description_scaled'): 0.0376
('username_name_levenshtein_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0374
('username_name_levenshtein_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0373
('name_length_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0373
('ratio_digits_in_username_scaled', 'ratio_digits_in_description_scaled'): 0.0370
('name_upper_to_lower_ratio_scaled', 'username_entropy_scaled'): 0.0370
('ratio_digits_in_username_scaled', 'listed_rate_scaled'): 0.0369
('username_name_levenshtein_scaled', 'listed_rate_scaled'): 0.0367
('followers_over_following_scaled', 'listed_over_tweets_scaled'): 0.0367
('double_followers_over_following_scaled', 'listed_over_tweets_scaled'): 0.0367
('name_entropy_scaled', 'tweets_last20_sensitive_fraction_scaled'): 0.0365
('ratio_special_chars_in_name_scaled', 'listed_over_tweets_scaled'): 0.0362
('ratio_digits_in_description_scaled', 'ratio_special_chars_in_name_scaled'): 0.0362
('name_entropy_scaled', 'following_count_scaled'): 0.0357
('name_length_scaled', 'hashtag_in_description_count_scaled'): 0.0357
('url_in_description_count_scaled', 'following_rate_scaled'): 0.0357
('ratio_special_chars_in_name_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0356
('ratio_special_chars_in_username_scaled', 'listed_rate_scaled'): 0.0352
('username_length_scaled', 'ratio_special_chars_in_name_scaled'): 0.0351
('ratio_special_chars_in_description_scaled', 'listed_over_tweets_scaled'): 0.0351
('ratio_special_chars_in_username_scaled', 'following_rate_scaled'): 0.0349
('tweets_over_followers_scaled', 'listed_over_tweets_scaled'): 0.0348
('ratio_digits_in_name_scaled', 'name_entropy_scaled'): 0.0347
('name_length_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0346
('followers_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0346
('tweets_over_followers_scaled', 'listed_rate_scaled'): 0.0345
('username_upper_to_lower_ratio_scaled', 'mention_in_description_count_scaled'): 0.0344
('name_length_scaled', 'following_rate_scaled'): 0.0341
('account_age_seconds_scaled', 'following_over_followers_squared_scaled'): 0.0341
('tweets_over_followers_scaled', 'following_rate_scaled'): 0.0339
('url_in_description_count_scaled', 'following_count_scaled'): 0.0336
('ratio_digits_in_username_scaled', 'following_over_followers_scaled'): 0.0336
('username_entropy_scaled', 'following_over_total_connections_scaled'): 0.0336
('username_name_length_ratio_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0334
('account_age_seconds_scaled', 'followers_over_following_scaled'): 0.0334
('account_age_seconds_scaled', 'double_followers_over_following_scaled'): 0.0334
('description_length_scaled', 'listed_over_followers_scaled'): 0.0334
('url_in_description_count_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0334
('username_length_scaled', 'followers_count_scaled'): 0.0333
('name_entropy_scaled', 'description_sentiment_scaled'): 0.0333
('account_age_seconds_scaled', 'tweet_rate_scaled'): 0.0333
('ratio_special_chars_in_username_scaled', 'follower_rate_scaled'): 0.0332
('description_sentiment_scaled', 'tweet_rate_scaled'): 0.0330
('username_length_scaled', 'ratio_special_chars_in_description_scaled'): 0.0329
('ratio_special_chars_in_name_scaled', 'listed_over_followers_scaled'): 0.0328
('cashtag_in_description_count_scaled', 'url_in_description_count_scaled'): 0.0327
('ratio_special_chars_in_username_scaled', 'url_in_description_count_scaled'): 0.0327
('ratio_special_chars_in_username_scaled', 'listed_count_scaled'): 0.0323
('ratio_digits_in_username_scaled', 'listed_count_scaled'): 0.0323
('follower_rate_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0323
('username_name_levenshtein_scaled', 'listed_count_scaled'): 0.0319
('username_length_scaled', 'mention_in_description_count_scaled'): 0.0316
('mention_in_description_count_scaled', 'followers_over_following_scaled'): 0.0311
('mention_in_description_count_scaled', 'double_followers_over_following_scaled'): 0.0311
('description_sentiment_scaled', 'follower_rate_scaled'): 0.0311
('tweets_last20_reply_fraction_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0310
('following_count_scaled', 'tweets_over_followers_scaled'): 0.0309
('mention_in_description_count_scaled', 'listed_count_scaled'): 0.0308
('ratio_digits_in_username_scaled', 'follower_rate_scaled'): 0.0307
('name_length_scaled', 'tweets_last20_avg_likes_scaled'): 0.0306
('name_length_scaled', 'ratio_digits_in_name_scaled'): 0.0306
('name_length_scaled', 'tweet_count_scaled'): 0.0305
('ratio_digits_in_username_scaled', 'description_sentiment_scaled'): 0.0305
('username_name_levenshtein_scaled', 'following_rate_scaled'): 0.0305
('ratio_digits_in_username_scaled', 'listed_over_tweets_scaled'): 0.0304
('username_length_scaled', 'follower_rate_scaled'): 0.0301
('hashtag_in_description_count_scaled', 'listed_over_followers_scaled'): 0.0301
('hashtag_in_description_count_scaled', 'tweets_last20_avg_retweets_scaled'): 0.0300
('ratio_special_chars_in_username_scaled', 'followers_count_scaled'): 0.0298
('name_length_scaled', 'tweet_rate_scaled'): 0.0298
('tweets_last20_num_distinct_langs_scaled', 'tweets_last20_avg_likes_scaled'): 0.0298
('username_name_length_ratio_scaled', 'description_sentiment_scaled'): 0.0298
('ratio_special_chars_in_description_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0296
('listed_over_tweets_scaled', 'tweets_last20_reply_fraction_scaled'): 0.0296
('ratio_digits_in_name_scaled', 'name_upper_to_lower_ratio_scaled'): 0.0296
('ratio_digits_in_description_scaled', 'description_sentiment_scaled'): 0.0296
('listed_count_scaled', 'tweets_over_followers_scaled'): 0.0295
('description_sentiment_scaled', 'followers_count_scaled'): 0.0295
('username_upper_to_lower_ratio_scaled', 'tweets_last20_avg_likes_scaled'): 0.0294
('description_sentiment_scaled', 'tweets_last20_avg_likes_scaled'): 0.0294
('username_entropy_scaled', 'followers_count_scaled'): 0.0293
('description_length_scaled', 'ratio_digits_in_name_scaled'): 0.0292
('name_upper_to_lower_ratio_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0291
('ratio_digits_in_name_scaled', 'following_over_total_connections_scaled'): 0.0291
('description_length_scaled', 'username_entropy_scaled'): 0.0291
('name_length_scaled', 'tweets_over_followers_scaled'): 0.0291
('mention_in_description_count_scaled', 'listed_rate_scaled'): 0.0291
('url_in_description_count_scaled', 'tweets_over_followers_scaled'): 0.0290
('username_length_scaled', 'ratio_special_chars_in_username_scaled'): 0.0287
('ratio_special_chars_in_username_scaled', 'mention_in_description_count_scaled'): 0.0286
('following_count_scaled', 'listed_rate_scaled'): 0.0282
('name_upper_to_lower_ratio_scaled', 'account_age_seconds_scaled'): 0.0280
('mention_in_description_count_scaled', 'tweets_last20_num_distinct_langs_scaled'): 0.0280
('username_name_length_ratio_scaled', 'url_in_description_count_scaled'): 0.0280
